地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2017/10/19,21:50:28.9,福島県沖,37°03.6′N,141°08.6′E,51 km,4.2,震度３
2017/10/19,18:02:01.5,奄美大島北東沖,28°19.6′N,131°16.6′E,98 km,5.6,震度３
2017/10/19,01:50:00.6,岩手県沖,40°01.3′N,141°57.1′E,9 km,4.2,震度３
2017/10/09,23:47:19.7,宮城県沖,38°19.4′N,141°37.3′E,54 km,4.1,震度３
2017/10/09,06:59:28.0,長野県南部,35°50.3′N,137°34.5′E,6 km,3.2,震度３
2017/10/07,00:00:42.6,福島県沖,37°06.6′N,141°06.5′E,52 km,4.1,震度３
2017/10/06,23:56:40.7,福島県沖,37°05.2′N,141°09.3′E,53 km,5.9,震度５弱
2017/10/03,04:01:10.9,茨城県北部,36°48.5′N,140°32.2′E,8 km,4.2,震度３
2017/10/01,10:25:06.4,茨城県北部,36°51.2′N,140°33.9′E,5 km,4.9,震度３
2017/09/30,00:56:39.3,岐阜県飛騨地方,36°14.7′N,137°31.3′E,3 km,2.1,震度３
2017/09/28,16:11:26.8,福島県沖,37°20.7′N,141°35.7′E,45 km,4.8,震度３
2017/09/27,07:36:47.3,和歌山県北部,34°08.7′N,135°10.0′E,4 km,3.2,震度３
2017/09/27,05:22:11.2,岩手県沖,40°16.0′N,142°27.3′E,35 km,6.1,震度４
2017/09/24,06:08:38.9,伊豆大島近海,34°45.3′N,139°38.6′E,22 km,4.2,震度３
2017/09/22,09:23:42.7,トカラ列島近海,29°14.3′N,129°10.2′E,10 km,3.6,震度３
2017/09/20,05:18:06.9,福島県沖,37°16.6′N,141°39.1′E,46 km,5.3,震度３
2017/09/19,18:33:09.7,豊後水道,33°20.0′N,132°19.0′E,41 km,4.2,震度３
2017/09/14,09:27:23.5,埼玉県南部,35°49.6′N,139°33.2′E,50 km,4.5,震度３
2017/09/13,23:59:24.6,熊本県熊本地方,32°44.7′N,130°39.5′E,11 km,2.9,震度３
2017/09/11,00:51:08.0,東京都多摩西部,35°43.1′N,139°10.2′E,50 km,4.0,震度３
2017/09/10,17:44:24.0,浦河沖,41°45.5′N,142°52.6′E,43 km,5.6,震度４
2017/09/09,23:38:46.4,秋田県内陸南部,39°31.2′N,140°25.6′E,9 km,3.1,震度３
2017/09/09,19:41:01.5,秋田県内陸南部,39°31.5′N,140°25.5′E,9 km,3.3,震度３
2017/09/09,11:42:09.6,秋田県内陸南部,39°31.3′N,140°25.4′E,9 km,3.4,震度４
2017/09/08,22:23:18.1,秋田県内陸南部,39°30.0′N,140°25.1′E,9 km,5.2,震度５強
2017/09/08,14:20:10.9,熊本県熊本地方,32°43.4′N,130°40.4′E,14 km,4.1,震度４
2017/09/08,02:26:48.9,小笠原諸島西方沖,27°48.2′N,140°07.7′E,475 km,6.1,震度３
2017/08/30,11:50:05.9,石狩地方南部,42°49.5′N,141°28.2′E,10 km,2.8,震度３
2017/08/30,11:48:25.0,石狩地方南部,42°49.4′N,141°28.1′E,9 km,2.9,震度３
2017/08/27,11:26:04.5,茨城県北部,36°44.8′N,140°34.5′E,11 km,4.8,震度３
2017/08/26,17:37:39.5,和歌山県北部,34°01.1′N,135°11.2′E,4 km,2.8,震度３
2017/08/26,04:20:29.6,福島県中通り,37°01.2′N,140°35.0′E,8 km,4.7,震度３
2017/08/24,14:34:38.6,鹿児島湾,31°22.6′N,130°36.7′E,7 km,4.4,震度４
2017/08/16,00:04:36.1,茨城県沖,36°27.4′N,141°03.1′E,44 km,3.9,震度３
2017/08/14,18:11:35.2,千葉県北西部,35°50.1′N,139°59.5′E,102 km,4.5,震度３
2017/08/11,16:46:20.2,長野県北部,36°46.5′N,138°33.9′E,0 km,3.8,震度３
2017/08/10,09:36:31.1,千葉県北西部,35°47.8′N,140°05.4′E,64 km,5.0,震度３
2017/08/08,21:27:56.2,熊本県熊本地方,32°44.4′N,130°44.7′E,10 km,3.9,震度３
2017/08/08,14:49:33.5,沖縄本島近海,26°29.5′N,127°00.4′E,13 km,5.2,震度３
2017/08/06,09:25:52.8,秋田県内陸南部,39°29.7′N,140°25.3′E,10 km,2.9,震度３
2017/08/05,07:55:18.3,茨城県北部,36°27.1′N,140°36.3′E,56 km,4.1,震度３
2017/08/04,20:19:46.5,西表島付近,24°33.1′N,123°34.6′E,64 km,5.3,震度３
2017/08/03,13:45:04.4,茨城県南部,36°04.7′N,139°53.1′E,46 km,4.6,震度３
2017/08/02,07:15:56.8,茨城県南部,36°07.2′N,140°01.3′E,48 km,4.6,震度４
2017/08/02,02:02:07.5,茨城県北部,36°48.2′N,140°32.1′E,9 km,5.5,震度４
2017/07/27,17:45:46.5,宮城県沖,38°58.2′N,141°43.3′E,65 km,4.3,震度３
2017/07/21,16:07:44.1,千葉県北西部,35°48.7′N,140°10.1′E,61 km,4.4,震度３
2017/07/20,09:11:24.2,福島県沖,37°20.4′N,141°35.2′E,46 km,5.8,震度４
2017/07/19,04:25:03.4,熊本県熊本地方,32°46.3′N,130°37.7′E,12 km,3.7,震度３
2017/07/15,16:37:35.7,鹿児島湾,31°23.3′N,130°37.0′E,9 km,3.6,震度３
2017/07/15,07:12:35.1,鹿児島湾,31°23.2′N,130°37.0′E,9 km,3.4,震度３
2017/07/14,17:54:02.3,胆振地方中東部,42°48.5′N,141°52.2′E,26 km,3.9,震度３
2017/07/13,21:35:03.0,奄美大島近海,27°59.2′N,129°23.0′E,29 km,4.2,震度３
